id_city,id_state,variable,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Miami FL,FL,daily_mean,68.6,70.7,73.1,76.7,80.1,82.8,84.1,84.2,83.0,80.1,74.8,71.2
Miami FL,FL,precipitation,1.83,2.15,2.46,3.36,6.32,10.51,7.36,9.58,10.22,7.65,3.53,2.44
Orlando FL,FL,daily_max,71.8,74.9,78.9,83.6,88.4,90.8,92.0,91.6,89.6,84.7,78.3,73.8
Orlando FL,FL,daily_mean,60.6,63.6,67.3,72.2,77.3,81.2,82.6,82.6,81.0,75.5,68.2,63.3
Orlando FL,FL,precipitation,2.48,2.04,3.03,2.58,4.02,8.05,7.46,7.69,6.37,3.46,1.79,2.48
Tallahassee FL,FL,daily_max,63.9,67.8,74.2,80.2,87.4,90.8,92.1,91.5,88.6,81.7,72.5,65.9
Tallahassee FL,FL,daily_mean,52.2,55.6,61.4,67.3,75.2,80.8,82.5,82.4,79.1,70.3,60.2,54.4
Tallahassee FL,FL,precipitation,4.41,4.28,5.24,3.53,3.36,7.76,7.14,7.6,4.91,3.24,3.1,4.24
Tampa FL,FL,daily_max,71.3,74.0,77.8,83.0,88.3,90.5,91.0,91.2,90.2,85.6,78.9,73.9
Tampa FL,FL,daily_mean,62,64.7,68.6,73.9,79.5,82.9,83.8,84.0,82.7,77.4,69.8,64.9
Tampa FL,FL,precipitation,2.65,2.62,2.52,2.55,2.6,7.37,7.75,9.03,6.09,2.34,1.4,2.56
Columbus OH,OH,daily_max,37.1,40.8,51.1,64.1,74.1,82.2,85.4,84.1,77.8,65.5,52.3,41.5
Columbus OH,OH,daily_mean,29.6,32.5,41.6,53.2,63.3,71.9,75.4,74.0,67.2,55.2,43.6,34.5
Columbus OH,OH,precipitation,3,2.41,3.62,3.85,3.99,4.33,4.67,3.74,3.14,2.9,2.79,3.13
Oklahoma City OK,OK,daily_max,49.3,53.8,62.9,71.1,78.9,87.5,93.1,92.2,83.9,72.8,60.7,50.4
Oklahoma City OK,OK,daily_mean,38.2,42.3,51.2,59.3,68.2,76.9,81.7,80.7,72.7,61.1,49.2,40
Oklahoma City OK,OK,precipitation,1.32,1.42,2.55,3.6,5.31,4.49,3.59,3.6,3.72,3.32,1.68,1.79
Tulsa OK,OK,daily_max,48.9,54.0,63.3,72.1,79.7,88.4,93.6,93.0,84.8,73.6,61.4,50.9
Tulsa OK,OK,daily_mean,38.5,42.8,52.0,60.8,69.6,78.6,83.4,82.2,73.8,62.3,50.4,41
Tulsa OK,OK,precipitation,1.63,1.62,3.1,4.37,5.73,4.65,3.76,3.38,3.85,3.78,2.66,2.43
Harrisburg PA,PA,daily_max,38.6,42.0,51.3,63.8,73.7,82.4,86.8,84.7,77.6,65.7,53.9,43.3
Harrisburg PA,PA,daily_mean,30.8,33.4,41.8,53.2,63.4,72.5,77.3,75.2,67.9,55.8,44.8,35.8
Harrisburg PA,PA,precipitation,3.03,2.59,3.7,3.55,3.83,3.98,4.74,3.77,4.83,3.81,2.97,3.43
Philadelphia PA,PA,daily_max,41.3,44.3,52.8,64.7,74.4,83.2,87.8,85.8,78.9,67.2,55.9,46
Philadelphia PA,PA,daily_mean,33.7,35.9,43.6,54.5,64.3,73.5,78.7,76.8,69.9,58.2,47.4,38.6
Philadelphia PA,PA,precipitation,3.13,2.75,3.96,3.47,3.34,4.04,4.38,4.29,4.4,3.47,2.91,3.97
Pittsburgh PA,PA,daily_max,36.3,39.6,49.1,62.4,71.9,79.4,82.9,81.7,75.1,63.1,50.9,40.6
Pittsburgh PA,PA,daily_mean,28.8,31.4,39.7,51.5,61.2,69.4,73.2,71.8,64.9,53.4,42.6,33.7
Pittsburgh PA,PA,precipitation,2.96,2.62,3.15,3.32,3.83,4.12,4.26,3.52,3.3,2.83,2.86,2.84
Providence RI,RI,daily_max,38.3,40.5,47.7,58.9,68.9,77.7,83.6,82.2,74.8,63.8,53.2,43.4
Providence RI,RI,daily_mean,30.2,32.0,38.9,49.3,59.1,68.2,74.4,73.0,65.6,54.4,44.5,35.5
Providence RI,RI,precipitation,3.96,3.44,4.9,4.29,3.37,3.81,2.91,3.59,4.17,4.18,4.27,4.65
Charleston SC,SC,daily_max,60.2,63.8,70.1,77.1,83.6,88.5,91.3,89.8,85.4,77.9,69.4,62.7
Charleston SC,SC,daily_mean,49.5,52.7,58.7,65.8,73.3,79.4,82.5,81.4,76.9,67.8,58.3,52.2
Charleston SC,SC,precipitation,3.37,3.05,3.35,3.29,3.32,6.21,6.6,6.97,6.01,4.33,2.66,3.35
Columbia SC,SC,daily_max,56.8,60.8,68.3,76.7,83.8,89.7,92.7,90.8,85.7,76.5,66.4,58.9
Columbia SC,SC,daily_mean,45.7,49.1,55.9,64.1,72.2,79.1,82.4,81.0,75.5,64.6,54.0,47.7
Columbia SC,SC,precipitation,3.49,3.39,3.57,2.83,3.49,4.97,5.35,4.65,3.91,3.13,2.76,3.7
Pierre SD,SD,daily_max,29,33.7,45.7,58.5,69.5,80.0,88.3,86.6,77.5,60.7,44.9,32.4
Pierre SD,SD,daily_mean,19.1,23.2,34.3,45.9,57.2,67.8,74.9,73.0,63.6,48.5,34.1,22.8
Pierre SD,SD,precipitation,0.45,0.74,0.96,1.93,3.25,3.69,2.39,1.95,1.74,1.69,0.77,0.64
Rapid City SD,SD,daily_max,36.5,38.3,47.4,55.0,65.3,76.2,84.4,83.4,76.1,58.8,47.0,37.6
Rapid City SD,SD,daily_mean,26.4,27.9,36.5,44.5,54.9,65.4,73.0,71.6,62.4,48.3,36.8,28.1
Rapid City SD,SD,precipitation,0.31,0.53,0.94,2.26,4.12,3.33,2.62,2.17,1.4,1.49,0.47,0.35
Sioux Falls SD,SD,daily_max,27.2,32.0,45.0,59.0,70.8,80.9,85.3,82.8,75.6,61.1,45.0,31.6
Sioux Falls SD,SD,daily_mean,17.9,22.3,34.7,47.2,59.1,69.9,74.4,72.0,63.8,49.6,34.8,22.5
Sioux Falls SD,SD,precipitation,0.6,0.83,1.6,3.0,3.86,4.23,3.25,3.34,2.73,2.36,1.22,0.83
